section_number,section_name,distance_miles,walk_name,walk_website
1,Epping Forest to Lea Bridge,4.5,Green Link Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-link-guides.html
2,Lea Bridge to Regent’s Canal,5,Green Link Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-link-guides.html
3,Regent’s Canal to Bankside,2.5,Green Link Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-link-guides.html
4,Bankside to Peckham,4,Green Link Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-link-guides.html
